experiment,num_outliers,num_entire_outliers,overlap_convex,iou,outliers_max_dist_mm,error (mm),outliers_dist_mm,start_day,end_day
13176,1,1,0.8912944509079872,0.6760080380935739,30.467149173782726,0.1,[30.46714917],0,60
13176,2,1,0.8728609521837057,0.6353268969092205,29.723974834761037,0.1,[ 0.42261002 29.72397483],0,66
13176,0,0,0.9779592895112148,0.7112444697533838,0,0.1,[],60,66
13177,0,0,0.9557431881220427,0.6414358855015126,0,0.1,[],0,60
13253,5,0,0.8831036983321248,0.4316484050007172,0.68878463,0.1,[0.14574574 0.61156759 0.39148619 0.66041578 0.68878463],0,59
13254,13,3,0.8314822360379069,0.5551938284339006,2.4800945568232495,0.1,"[2.48009456 0.58210972 0.72355068 0.36572029 1.0625381  0.25184408
 2.17805994 1.04806918 0.90492964 1.32508156 1.21310523 0.30039394
 0.55002027]",0,59
13331,0,0,0.9907850539520229,0.6559518998812192,0,0.1,[],0,1
13332,6,0,0.9206602553741716,0.42795978255640543,0.7468268200245202,0.1,[0.13798069 0.56517649 0.18112942 0.23052587 0.31639591 0.74682682],0,62
13577,5,0,0.8979382137924065,0.5300910927316386,3.386625432314356,0.1,[0.26758717 1.61678495 3.38662543 0.58439564 0.9944772 ],0,62
13578,8,0,0.7404808796980141,0.5185825139015425,1.5551937179129671,0.1,"[0.466967   0.55159344 1.12248349 0.22192928 0.37915991 1.22416239
 1.31616476 1.55519372]",0,62
