experiment,num_outliers,num_entire_outliers,num_entire_outliers_err,overlap,outliers_max_dist_mm,outliers_dist_mm,start_day,end_day
13176,4.0,1.0,1.0,0.871219512195122,30.65430131793628,[30.65430132  1.48405702  1.21384181  0.69238277],0,60
13176,4.0,1.0,1.0,0.8585757271815446,29.906966406286664,[ 1.26274928 29.90696641  0.89327224  0.79330853],0,66
13176,3.0,0.0,0.0,0.9663366336633663,0.6207444351128811,[0.62074444 0.44875363 0.4111242 ],60,66
13177,2.0,0.0,0.0,0.939873417721519,0.9864615959328534,[0.47289537 0.9864616 ],0,60
13253,10.0,0.0,0.0,0.8436541998773759,1.521598044804931,"[1.52159804 0.77205333 1.07782593 0.59653129 1.01290268 1.29200756
 0.40002487 1.3993697  1.05513502 1.07681422]",0,59
13254,15.0,3.0,3.0,0.7983830217281456,2.6631540030536947,"[2.57735797 1.10055463 1.30102437 1.14203459 1.19328716 1.20481889
 0.39616796 2.663154   0.63760753 1.59103024 0.99481718 1.646095
 1.55824964 0.59997098 1.11124884]",0,59
13331,0.0,0.0,0.0,0.980110497237569,0.0,[],0,1
13332,7.0,0.0,0.0,0.8935681470137825,1.1000210676313595,"[0.72500553 0.38959609 1.10002107 0.3534521  0.51824848 0.51055839
 1.07271038]",0,62
13577,8.0,0.0,0.0,0.8809523809523809,3.505580070093663,"[0.50925907 0.59749222 2.1039408  3.50558007 0.29118215 0.69023345
 0.94952208 1.20584601]",0,62
13578,10.0,0.0,0.0,0.7332317073170732,1.9532084815929092,"[0.8533837  1.34432968 1.77355924 0.88624103 0.89870279 0.82227555
 1.62480428 1.65894271 1.95320848 0.67299319]",0,62
